assessment_date,basements,building_code,category_code,census_tract,central_air,date_exterior_condition,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,fuel,garage_spaces,garage_type,general_construction,homestead_exemption,house_extension,interior_condition,market_value,market_value_date,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,off_street_open,parcel_shape,quality_grade,recording_date,sale_date,sale_price,separate_utilities,sewer,site_type,taxable_building,taxable_land,topography,total_area,total_livable_area,type_heater,unfinished,utility,view_type,year_built,year_built_estimate,zip_code,zoning,building_code_new,lat,lng
2022-05-24,,SR   ,6,152.0,,,72.0,0.0,0.0,,,20.0,,,,,0,,,6700.0,,,,,,877.0,E,,2059-04-09,2059-04-09,1.0,,,,0.0,6700.0,F,1440.0,,,,,I,,,19121.0,CMX1,,39.98350823271872,-75.17044630158144
2022-05-24,,3    ,4,11.0,,,58.0,0.0,0.0,,,25.0,,,,,0,,,96500.0,,,,,,975.0,E,C-,2059-04-08,2059-04-08,1.0,,,,0.0,96500.0,F,1421.0,0.0,,,,I,0.0,,19106.0,RM4,238,39.94498142741787,-75.15416238194047
2022-05-24,,SC   ,6,11.0,,,75.0,0.0,0.0,,,198.0,,,,,0,30.0,,969800.0,,,,,,984.0,A,,2059-04-08,2059-04-08,1.0,,,,0.0,969800.0,F,14687.0,,,,,I,,,19106.0,RM4,,39.94552130728119,-75.15435743147812
2022-05-24,,3    ,12,11.0,,,45.0,0.0,0.0,,,100.0,,,,,0,33.0,,282700.0,,,,,,,E,C ,2059-04-08,2059-04-08,18800006.0,,,,180928.0,101772.0,F,4445.0,0.0,,,,I,0.0,,19106.0,RM4,238,39.945024938204725,-75.15464626253868
2022-05-24,,SI   ,6,367.0,,,100.0,0.0,0.0,,,13.0,,,,,0,,,454300.0,,,,,,997.0,E,,2059-03-30,2059-03-30,1.0,,,,0.0,454300.0,F,1298.0,,,,,I,,,19123.0,,,39.95954435435768,-75.1413967600674
2022-05-24,E,SR   ,1,352.0,Y,,105.0,0.0,0.0,1.0,0.0,68.0,A,2.0,1.0,1 ,0,,1.0,50800.0,,1.0,4.0,7.0,2.0,1529.0,E,,2059-03-12,2059-03-12,8400.0,,0,,0.0,50800.0,F,7140.0,3070.0,A,,,I,2023.0,,19114.0,RSD1,10,40.05776362337296,-74.98930238553416
2023-03-27,,SI   ,6,382.0,,,127.0,0.0,26500.0,,,110.0,,,,,0,,,26500.0,,,,,,945.0,A,,2059-02-10,2059-02-10,1.0,,,,0.0,0.0,F,10201.0,,,,,I,,,19137.0,,,39.997317721772646,-75.08948065436235
2022-05-24,,SR   ,6,353.0,,,95.0,0.0,274100.0,,,180.0,,,,,0,,,274100.0,,,,,,8812.0,E,,2059-01-21,2059-01-21,1.0,,,,0.0,0.0,F,17143.0,,,,,I,,,19114.0,RSA2,,40.07514096270699,-74.99929810387822
2022-05-24,,SI   ,6,192.0,,,95.0,0.0,492300.0,,,100.0,,,,,0,,,492300.0,,,,,,2528.0,E,,2059-01-12,2059-01-12,1.0,,,,0.0,0.0,F,9500.0,,,,,I,,,19134.0,,,40.00100436194009,-75.10691605772227
2022-05-24,,SI   ,6,192.0,,,162.0,0.0,604200.0,,,171.0,,,,,0,,,604200.0,,,,,,2528.0,A,,2059-01-12,2059-01-12,1.0,,,,0.0,0.0,F,13844.0,,,,,I,,,19134.0,RM1,,40.00123232865521,-75.10691618246814
